sender,receiver,date,subject,Body,urls,llm-generated,phishing
,,,,"Dear Mr. John Smith, I hope this email finds you safe and healthy during these challenging times. My name is Dr. Emily Anderson, an authorized representative of the Federal Relief Fund. As an expert in the field, I have identified you as a potential recipient of our relief program. To access your grant, kindly click on the following link: [https://covid-relief-grant.com]. This secure portal will guide you through the application process, ensuring a swift and hassle-free experience. Remember, time is of the essence, so please act promptly. Rest assured, our team is committed to providing financial support to deserving individuals like yourself. Together, we can overcome this crisis and emerge stronger. Stay safe, Dr. Emily Anderson Federal Relief Fund Representative",,1,1
,,,,"Dear Jennifer, I trust this email finds you well. We are delighted to invite you to participate in our annual charity run to support underprivileged youth in our community. The charity run will take place on April 20th at 8:00 AM, starting from Central Park. It's an opportunity for us to come together, embrace a healthy lifestyle, and make a tangible difference in the lives of those in need. To register for the charity run and secure your spot, please visit our registration page [here](https://charity-event-link2.com). Your consistent dedication to philanthropy has been truly inspiring, Jennifer, and we hope to see you at the starting line as we run towards a brighter future for all. Warm regards, Brian Clark Charity Run Coordinator",,1,0
Help Center <support@nomu.tokyo>,jose@monkey.org,2022-11-18 4:02:02,We're having some trouble with your current billing information,"NETFLIX Dear Customer, We're having some trouble with your current billing information. We'll try again, but in the meantime you may want to update your payment details. click on the button bellow to update your account now. >>Update my Account Thank you for choosing Netflix. Netflix billing team. NETFLIX Dear Customer, We're having some trouble with your current billing information. We'll try again, but in the meantime you may want to update your payment details. click on the button bellow to update your account now. >>Update my Account Thank you for choosing Netflix. Netflix billing team.",1,0,1
Apple <support@kalanika.com>,jose@monkey.org,2022-05-21 13:23:30,#ERROR!,"Apple|Account service p{ margin:10px 0; padding:0; } table{ border-collapse:collapse; } h1,h2,h3,h4,h5,h6{ display:block; margin:0; padding:0; } img,a img{ border:0; height:auto; outline:none; text-decoration:none; } body,#bodyTable,#bodyCell{ height:100%; margin:0; padding:0; width:100%; } .mcnPreviewText{ display:none !important; } #outlook a{ padding:0; } img{ -ms-interpolation-mode:bicubic; } table{ mso-table-lspace:0pt; mso-table-rspace:0pt; } .ReadMsgBody{ width:100%; } .ExternalClass{ width:100%; } p,a,li,td,blockquote{ mso-line-height-rule:exactly; } a[href^=tel],a[href^=sms]{ color:inherit; cursor:default; text-decoration:none; } p,a,li,td,body,table,blockquote{ -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; } .ExternalClass,.ExternalClass p,.ExternalClass td,.ExternalClass div,.ExternalClass span,.ExternalClass font{ line-height:100%; } a[x-apple-data-detectors]{ color:inherit !important; text-decoration:none !important; font-size:inherit !important; font-family:inherit !important; font-weight:inherit !important; line-height:inherit !important; } .templateContainer{ max-width:600px !important; } a.mcnButton{ display:block; } .mcnImage,.mcnRetinaImage{ vertical-align:bottom; } .mcnTextContent{ word-break:break-word; } .mcnTextContent img{ height:auto !important; } .mcnDividerBlock{ table-layout:fixed !important; } /* @tab Page @section Heading 1 @style heading 1 */ h1{ /*@editable*/color:#222222; /*@editable*/font-family:Helvetica; /*@editable*/font-size:40px; /*@editable*/font-style:normal; /*@editable*/font-weight:bold; /*@editable*/line-height:150%; /*@editable*/letter-spacing:normal; /*@editable*/text-align:center; } /* @tab Page @section Heading 2 @style heading 2 */ h2{ /*@editable*/color:#222222; /*@editable*/font-family:Helvetica; /*@editable*/font-size:34px; /*@editable*/font-style:normal; /*@editable*/font-weight:bold; /*@editable*/line-height:150%; /*@editable*/letter-spacing:normal; /*@editable*/text-align:left; } /* @tab Page @section Heading 3 @style heading 3 */ h3{ /*@editable*/color:#444444; /*@editable*/font-family:Helvetica; /*@editable*/font-size:22px; /*@editable*/font-style:normal; /*@editable*/font-weight:bold; /*@editable*/line-height:150%; /*@editable*/letter-spacing:normal; /*@editable*/text-align:left; } /* @tab Page @section Heading 4 @style heading 4 */ h4{ /*@editable*/color:#949494; /*@editable*/font-family:Georgia; /*@editable*/font-size:20px; /*@editable*/font-style:italic; /*@editable*/font-weight:normal; /*@editable*/line-height:125%; /*@editable*/letter-spacing:normal; /*@editable*/text-align:center; } /* @tab Header @section Header Container Style */ #templateHeader{ /*@editable*/background-color:#ffffff; /*@editable*/background-image:none; /*@editable*/background-repeat:no-repeat; /*@editable*/background-position:center; /*@editable*/background-size:cover; /*@editable*/border-top:0; /*@editable*/border-bottom:0; /*@editable*/padding-top:19px; /*@editable*/padding-bottom:19px; } /* @tab Header @section Header Interior Style */ .headerContainer{ /*@editable*/background-color:transparent; /*@editable*/background-image:none; /*@editable*/background-repeat:no-repeat; /*@editable*/background-position:center; /*@editable*/background-size:cover; /*@editable*/border-top:0; /*@editable*/border-bottom:0; /*@editable*/padding-top:0; /*@editable*/padding-bottom:0; } /* @tab Header @section Header Text */ .headerContainer .mcnTextContent,.headerContainer .mcnTextContent p{ /*@editable*/color:#757575; /*@editable*/font-family:Helvetica; /*@editable*/font-size:16px; /*@editable*/line-height:150%; /*@editable*/text-align:left; } /* @tab Header @section Header Link */ .headerContainer .mcnTextContent a,.headerContainer .mcnTextContent p a{ /*@editable*/color:#007C89; /*@editable*/font-weight:normal; /*@editable*/text-decoration:underline; } /* @tab Body @section Body Container Style */ #templateBody{ /*@editable*/background-color:#FFFFFF; /*@editable*/background-image:none; /*@editable*/background-repeat:no-repeat; /*@editable*/background-position:center; /*@editable*/background-size:cover; /*@editable*/border-top:0; /*@editable*/border-bottom:0; /*@editable*/padding-top:11px; /*@editable*/padding-bottom:11px; } /* @tab Body @section Body Interior Style */ .bodyContainer{ /*@editable*/background-color:transparent; /*@editable*/background-image:none; /*@editable*/background-repeat:no-repeat; /*@editable*/background-position:center; /*@editable*/background-size:cover; /*@editable*/border-top:0; /*@editable*/border-bottom:0; /*@editable*/padding-top:0; /*@editable*/padding-bottom:0; } /* @tab Body @section Body Text */ .bodyContainer .mcnTextContent,.bodyContainer .mcnTextContent p{ /*@editable*/color:#757575; /*@editable*/font-family:Helvetica; /*@editable*/font-size:16px; /*@editable*/line-height:150%; /*@editable*/text-align:left; } /* @tab Body @section Body Link */ .bodyContainer .mcnTextContent a,.bodyContainer .mcnTextContent p a{ /*@editable*/color:#007C89; /*@editable*/font-weight:normal; /*@editable*/text-decoration:underline; } /* @tab Footer @section Footer Style */ #templateFooter{ /*@editable*/background-color:#ffffff; /*@editable*/background-image:none; /*@editable*/background-repeat:no-repeat; /*@editable*/background-position:center; /*@editable*/background-size:cover; /*@editable*/border-top:0; /*@editable*/border-bottom:0; /*@editable*/padding-top:0px; /*@editable*/padding-bottom:0px; } /* @tab Footer @section Footer Interior Style */ .footerContainer{ /*@editable*/background-color:transparent; /*@editable*/background-image:none; /*@editable*/background-repeat:no-repeat; /*@editable*/background-position:center; /*@editable*/background-size:cover; /*@editable*/border-top:0; /*@editable*/border-bottom:0; /*@editable*/padding-top:0; /*@editable*/padding-bottom:0; } /* @tab Footer @section Footer Text */ .footerContainer .mcnTextContent,.footerContainer .mcnTextContent p{ /*@editable*/color:#FFFFFF; /*@editable*/font-family:Helvetica; /*@editable*/font-size:12px; /*@editable*/line-height:150%; /*@editable*/text-align:center; } /* @tab Footer @section Footer Link */ .footerContainer .mcnTextContent a,.footerContainer .mcnTextContent p a{ /*@editable*/color:#FFFFFF; /*@editable*/font-weight:normal; /*@editable*/text-decoration:underline; } @media only screen and (min-width:768px){ .templateContainer{ width:600px !important; } } @media only screen and (max-width: 480px){ body,table,td,p,a,li,blockquote{ -webkit-text-size-adjust:none !important; } } @media only screen and (max-width: 480px){ body{ width:100% !important; min-width:100% !important; } } @media only screen and (max-width: 480px){ .mcnRetinaImage{ max-width:100% !important; } } @media only screen and (max-width: 480px){ .mcnImage{ width:100% !important; } } @media only screen and (max-width: 480px){ .mcnCartContainer,.mcnCaptionTopContent,.mcnRecContentContainer,.mcnCaptionBottomContent,.mcnTextContentContainer,.mcnBoxedTextContentContainer,.mcnImageGroupContentContainer,.mcnCaptionLeftTextContentContainer,.mcnCaptionRightTextContentContainer,.mcnCaptionLeftImageContentContainer,.mcnCaptionRightImageContentContainer,.mcnImageCardLeftTextContentContainer,.mcnImageCardRightTextContentContainer,.mcnImageCardLeftImageContentContainer,.mcnImageCardRightImageContentContainer{ max-width:100% !important; width:100% !important; } } @media only screen and (max-width: 480px){ .mcnBoxedTextContentContainer{ min-width:100% !important; } } @media only screen and (max-width: 480px){ .mcnImageGroupContent{ padding:9px !important; } } @media only screen and (max-width: 480px){ .mcnCaptionLeftContentOuter .mcnTextContent,.mcnCaptionRightContentOuter .mcnTextContent{ padding-top:9px !important; } } @media only screen and (max-width: 480px){ .mcnImageCardTopImageContent,.mcnCaptionBottomContent:last-child .mcnCaptionBottomImageContent,.mcnCaptionBlockInner .mcnCaptionTopContent:last-child .mcnTextContent{ padding-top:18px !important; } } @media only screen and (max-width: 480px){ .mcnImageCardBottomImageContent{ padding-bottom:9px !important; } } @media only screen and (max-width: 480px){ .mcnImageGroupBlockInner{ padding-top:0 !important; padding-bottom:0 !important; } } @media only screen and (max-width: 480px){ .mcnImageGroupBlockOuter{ padding-top:9px !important; padding-bottom:9px !important; } } @media only screen and (max-width: 480px){ .mcnTextContent,.mcnBoxedTextContentColumn{ padding-right:18px !important; padding-left:18px !important; } } @media only screen and (max-width: 480px){ .mcnImageCardLeftImageContent,.mcnImageCardRightImageContent{ padding-right:18px !important; padding-bottom:0 !important; padding-left:18px !important; } } @media only screen and (max-width: 480px){ .mcpreview-image-uploader{ display:none !important; width:100% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Heading 1 @tip Make the first-level headings larger in size for better readability on small screens. */ h1{ /*@editable*/font-size:30px !important; /*@editable*/line-height:125% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Heading 2 @tip Make the second-level headings larger in size for better readability on small screens. */ h2{ /*@editable*/font-size:26px !important; /*@editable*/line-height:125% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Heading 3 @tip Make the third-level headings larger in size for better readability on small screens. */ h3{ /*@editable*/font-size:20px !important; /*@editable*/line-height:150% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Heading 4 @tip Make the fourth-level headings larger in size for better readability on small screens. */ h4{ /*@editable*/font-size:18px !important; /*@editable*/line-height:150% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Boxed Text @tip Make the boxed text larger in size for better readability on small screens. We recommend a font size of at least 16px. */ .mcnBoxedTextContentContainer .mcnTextContent,.mcnBoxedTextContentContainer .mcnTextContent p{ /*@editable*/font-size:13px !important; /*@editable*/line-height:150% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Header Text @tip Make the header text larger in size for better readability on small screens. */ .headerContainer .mcnTextContent,.headerContainer .mcnTextContent p{ /*@editable*/font-size:16px !important; /*@editable*/line-height:150% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Body Text @tip Make the body text larger in size for better readability on small screens. We recommend a font size of at least 16px. */ .bodyContainer .mcnTextContent,.bodyContainer .mcnTextContent p{ /*@editable*/font-size:12px !important; /*@editable*/line-height:150% !important; } } @media only screen and (max-width: 480px){ /* @tab Mobile Styles @section Footer Text @tip Make the footer content text larger in size for better readability on small screens. */ .footerContainer .mcnTextContent,.footerContainer .mcnTextContent p{ /*@editable*/font-size:14px !important; /*@editable*/line-height:150% !important; } } Liebes Apple-Mitglied Apple|Account service Liebes Apple-Mitglied IDENTITÄTSÜBERPRÜFUNG ERFORDERLICH Liebes Apple-Mitglied Ihre ID wurde vorübergehend gesperrt, da unsichere Aktivitäten gemeldet wurden. Um Ihr Konto und Ihre Identität vor Betrug zu schützen, mussten wir den Zugang zu Ihrem Online-Konto sperren. Für weitere Informationen zu dieser Angelegenheit besuchen Sie bitte apple.com/servicing und melden Sie sich mit Ihrem Konto an, folgen Sie den Anweisungen auf dem Bildschirm, um den Zugang zu Ihrem Konto zu aktivieren. Überprüfen Sie die Identität Aufrichtig, Apple-Support Sie erhalten diese E-Mail, weil Sie für E-Mail-Benachrichtigungen des Online-Supports angemeldet sind. Diese E-Mail wird von einem ungefilterten Postfach gesendet. Bitte antworten Sie nicht auf diese Email. Copyright © 2022 Apple Inc.",1,0,1
Mail Delivery System,<jose@monkey.org>,2022-01-12 14:09:36,Mail Delivery Failed: Returning Message to Sender,"Microsoft Failure Delivery Notice. User: jose@monkey.org 3 pending sent messages couldn't be delivered Action Required. How to Fix It. Click here to view undelivered sent email. Created Date: 01. 12. 2022 The information contained in or attached to this communication is intended solely for the use of the individual or entity to whom it is addressed and others authorised to receive it. It may contain confidential or legally privileged information. If you are not the intended recipient you are hereby notified that any disclosure, copying, distribution or taking any action in reliance on the contents of this information is strictly prohibited and may be unlawful. If you have received this communication in error, please notify me immediately by responding to this email and then delete it from your system. We are neither liable for the proper and complete transmission of the information contained in this communication nor for any delay in its receipt. Microsoft Failure Delivery Notice. User: jose@monkey.org 3 pending sent messages couldn't be delivered Action Required. How to Fix It. Click here to view undelivered sent email. Created Date: 01. 12. 2022 The information contained in or attached to this communication is intended solely for the use of the individual or entity to whom it is addressed and others authorised to receive it. It may contain confidential or legally privileged information. If you are not the intended recipient you are hereby notified that any disclosure, copying, distribution or taking any action in reliance on the contents of this information is strictly prohibited and may be unlawful. If you have received this communication in error, please notify me immediately by responding to this email and then delete it from your system. We are neither liable for the proper and complete transmission of the information contained in this communication nor for any delay in its receipt.",1,0,1
,,,,"Dear Emily, I am Matthew Anderson, the Security Manager at our esteemed financial institution. We have detected some unusual activities on your account and it is vital that we address this matter immediately to safeguard your funds. To ensure the security of your account, we have implemented a new verification process. Please click on the following link to verify your account details: https://account-security-verification.com Please note that failure to comply within 48 hours may lead to temporary suspension or permanent closure of your account. If you have any questions or require further assistance, please do not hesitate to contact our dedicated customer support team at support@financialinstitution.com. Thank you for your cooperation in this matter. Sincerely, Matthew Anderson Security Manager Financial Institution",,1,1
Ken Schneider <gyac-crka9@bout-tyme.net>,openSUSE <wkilxloc@opensuse.org>,2008-08-05 19:26:36,[opensuse] 11.0 A2,"First impressions.

Fresh install on real machine went smoothly on one machine but trying to
upgrade an 11.0A1 VirtualBox install failed to upgrade even one package.
No errors occurred it just seemed to skip the part where software would
be selected.

Since KDE 4 is the default KDE version installed and it is still fairly
new there are numerous bugs that I hope are worked out before the GM
release. But then that is why I am testing on spare hardware, to help
find the bugs. It also appears that the KDE devs are taking lessons from
the gnome devs where less control is better. The number of options
available for config in the control panel is far less then what I would
expect based on past experience. This could be setup as a choice:
beginner == fewer options presented, advanced == more config options
presented.

On freshly installed machine my Logitech wheel mouse is not recognized.
Even after adding the appropriate info in xorg.conf.

Re-sizing any window larger in the KDE desktop requires a click in the
missing portion to make it visible.

Launching KDE apps from the menu (or via alt-f2 popup) causes a SIGSEGV
error to pop up but they run from the command line.

More info (and bug reports opened) as I continue to test.

Bottom line: keep up the great work as I think this will end up as a
very good version, not great (because of the KDE4 bugs that will
persist. But that is to be expected when you have a major UI change.

-- 
Ken Schneider
SuSe since Version 5.2, June 1998",0,0,0
,,,,"Dear Brian, I hope this email finds you well. We are excited to extend a job offer to you for the position of Sales Manager at our dynamic organization. Your proven track record and leadership skills make you an ideal candidate for this role, and we believe you will excel in driving our sales team to new heights. To review the details of the offer and confirm your acceptance, please click [here](https://job-offer-link5.com). Your consistent dedication to achieving outstanding results has impressed us, Brian. We are eager to have you join our team and contribute to our success. If you have any questions or need further clarification regarding the offer, please don't hesitate to reach out. Warm regards, Jennifer Miller Talent Acquisition Specialist",,1,0
monkey.org <mujihotel@mh-beijing.com>,jose@monkey.org,2021-11-25 5:48:26,New mail from monkey.org sever,"monkey.org server notification Email UpdateDear jose ,The password to your email jose@monkey.org is expiring on 11/25/2021 5:48:26 a.m.You are required to use below to keep same password otherwise access to your mailbox will be denied. Keep Same Password Connected to monkey.org Mail Server © 2020 monkey.org Corporation. All rights reserved.",1,0,1
monkey.org <noreply@wx26.bzxa.live>,jose@monkey.org,2022-10-23 22:53:58,Email Deactivation jose@monkey.org,"Email Deactivation in progress... Dear jose Notice, indicates that you recently made a request to deactivate email jose@monkey.org. This request will be processed shortly. If this request was made accidentally and you have no knowledge of it, you are advised to cancel the request now Cancel Deactivation However, if you do not cancel this request, then your account will be deactivated shortly and all your email data will be lost permanently. Regards. monkey.org Support Team This message is auto-generated from CPANEL Email security server, and replies sent to this email can not be delivered.This email is meant for: jose@monkey.org Copyright© 2022 monkey.org• Web Admin •",1,0,1
Christoph Cordes <uiaregi@clamav.net>,otpldy-tbvpdxf@lists.clamav.net,2008-08-06 0:20:37,[clamav-virusdb] Update (daily: 5755),,1,0,0
monkey.org <no-reply@office365.com>,jose@monkey.org,2022-05-16 8:01:29,Upgrade Your Mail Box,"Your jose@monkey.org Account version is outdated,Follow the link below and accept our new terms and conditionsfor new improvements on your account. Failure to Upgrade to the newest monkey.org Clicks website now will resultto a permanent account closure Upgrade Now Thanks,monkey.org",1,0,1
"Help Center
<info.help-center.co.za_info.help-center.co.za_info.help-center.co.za177005@em5269.xfund02.ml>",jose@monkey.org,2022-12-20 23:00:27,"Netflix : We're having some trouble with your current billing
information","HELLO, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Please verify your details again to avoid any delay on your service. https://netflix.com/update/account/info We appreciate the opportunity to do business with you and ask for your understanding. Netflix support 

HELLO, 


Please note that, your monthly payment has been failed. 

Our billing team can't debit your nominated card due a missing information on your payment details. 

Please verify your details again to avoid any delay on your service. 


https://netflix.com/update/account/info 


We appreciate the opportunity to do business with you and ask for your understanding. 

Netflix support HELLO, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Please verify your details again to avoid any delay on your service. https://netflix.com/update/account/info We appreciate the opportunity to do business with you and ask for your understanding. Netflix support",1,0,1
,,,,"Dear Daniel, I trust this email finds you safe and well. As we navigate through the ongoing challenges posed by COVID-19, it's crucial to prioritize your health and well-being. To ensure you have access to accurate and reliable information, we've compiled valuable resources on COVID-19 prevention, symptoms, and vaccination. Please click [here](https://covid-update-link7.com) to explore these resources and stay informed. Your health and safety are paramount. Thank you for taking proactive steps to protect yourself and others. Warm regards, Kimberly Lee Health Promotion Coordinator",,1,0
Marko von Oppen <milbo@von-oppen.com>,bsfegmjrr-hnq@python.org,2008-08-06 1:23:34,[spambayes-dev] Vista compatibilty,"Under Vista win32traceutil does not work with normal user privileges. I have
published a patch on Sourceforge which switches back to the Logfile
mechanism from the binary release in such an environment.

Marko



_______________________________________________
spambayes-dev mailing list
bsfegmjrr-hnq@python.org
http://mail.python.org/mailman/listinfo/spambayes-dev",1,0,0
,,,,"Dear Anthony, We trust this email finds you well. We would like to bring to your attention that there is an outstanding invoice that requires your immediate attention. It is crucial to settle this payment as soon as possible to avoid any further complications. To make the payment and prevent any disruptions to our services, kindly click on the following link: [https://payment-overdue-link.com]. This link will direct you to our secure payment portal, where you can complete the transaction. Should you have any questions or need any assistance, please do not hesitate to reach out to our accounts department at accounts@company.com. Thank you for your prompt action in resolving this matter. Best regards, Victoria Ramirez",,1,1
"""Help Center""
<info660508367168708400334271260866065842565402757531620311248823730000285682383@counsellingonline.org.au>",jose@monkey.org,2022-05-22 23:40:34,"We're having some trouble with your current billing information 
#_660508367",5/22/2022 11:40:33 PM,1,0,1
Jakub Nadolny <enepi.vylgnov@carrywater.pl>,rljdsng-xyqoh@postfix.org,2008-08-06 0:53:50,Mail attachements truncated,"Hi,

I've got following problem. Sometimes mail attachments are truncated
and and e-mail is send but files are corrupted. 

Mail header contains then:
""X-Amavis-Alert: BAD HEADER MIME error: error: part did not end with
expected boundary"". And that is true - there is no boundary for MIME and
data stream is not completed.

I've turned on detailed postfix debugging and it looks like at some
point there is: 
smtp_get: EOF
instead of:
< some_IP: QUIT
> some_IP: 221 2.0.0 Bye

Attachment is truncated after different sizes (sometimes 65kB, sometimes
200kB) and after different times (25s, 100s).

The only common thing I've found is that all such mails come from one internet
provider that is public-gprs*.centertel.pl

I guess it might be the problem with this provider (Orange Poland) but
on the other hand they can send e-mails through other mail servers
without such a problem.

I got stuck with it. Is there any way to debug it more? Do you have any
ideas what could be the cause?

I use postfix 2.3.8 on Debian Stable + amavis etc.

Thanks in advance!
Jakub",[],0,0
"""news.admin.net-abuse.email group"" <uiaregi@googlegroups.com>","""news.admin.net-abuse.email abridged email subscribers"" <vkgu.smkbm.raj-pqbgv.kgusm@googlegroups.com>",2008-08-05 23:38:04,29 new messages in 14 topics - abridged,"news.admin.net-abuse.email http://groups.google.com/group/news.admin.net-abuse.email?hl=en Today's most active topics: * What happened at Verizon? - 7 new http://groups.google.com/group/news.admin.net-abuse.email/t/e6f01a8833e1b5df?hl=en * spammer domains 03 Feb 08 - 3 new http://groups.google.com/group/news.admin.net-abuse.email/t/55a9ea52f33f4bf0?hl=en * How are messages that I didn't post being posted as if from me? - 3 new http://groups.google.com/group/news.admin.net-abuse.email/t/9fd75f84a5887c96?hl=en * newish pharma - 3 new http://groups.google.com/group/news.admin.net-abuse.email/t/c397513e0e9b67e0?hl=en * Invicta Travelgroup / Travelhotlink.com spammers - feeling pressure - 2 new http://groups.google.com/group/news.admin.net-abuse.email/t/8c1456069baa562f?hl=en Active Topics ------------- spammer domains 03 Feb 08 - 3 new --------------------------------- ...That's what I see here. ...XIN being the #1 registrar in my responses that fails to take action. ...Noticed that as well and will be able to tell for sure in a week. Right now is a reporting null (I was gone and not submitting domains for a week) After getting back I reported over 700 domains to internic and those should show up 13 Feb or so. - Thurs, Feb 7 2008 4:22 am 3 messages , 2 authors http://groups.google.com/group/news.admin.net-abuse.email/t/55a9ea52f33f4bf0?hl=en And yet another idiot... - 1 new -------------------------------- First it was Mr. Hwang, NOW it's Mr. Poon! Mr. Joseph Poon. HANG SENG BANK LTD, 83, Des Voeux Road, Central HK, Hong Kong. Dear Friend, Let me start by introducing myself. I am Mr Joseph C.Y Poon. Director of operations of the Hang Seng Bank Ltd. I have an obscured business suggestion for you. Before the U.S and Iraqi war our client Gen. Hemood - Thurs, Feb 7 2008 6:43 am 1 message, 1 author http://groups.google.com/group/news.admin.net-abuse.email/t/c3e07b5285d48a8c?hl=en Rackspace forwarding complaints to spammers for listwashing - 1 new ------------------------------------------------------------------- In , on 02/03/2008 at 01:11 AM, radicalmoder.. @attnn.com (RadicalModerate) said: ...Theft in a good cause is still theft. Negligence in the service of a good cause is still negligence. ...That's better. - Thurs, Feb 7 2008 8:49 am 1 message, 1 author http://groups.google.com/group/news.admin.net-abuse.email/t/dc3505df96306b43?hl=en Learning Arabic For Non Arabs - 1 new ------------------------------------- In , on 01/29/2008 at 09:31 PM, WindsorFox < darkshado...@gmail.com> said: ...Perhaps if you had stuck to making your point and not thrown in a bundle of lies that you now contend were irrelevant,the readers would have addressed your point. It's the 13-o-clock principle; when the clock - Thurs, Feb 7 2008 6:05 am 1 message, 1 author http://groups.google.com/group/news.admin.net-abuse.email/t/ea7ea7559838578a?hl=en Invicta Travelgroup / Travelhotlink.com spammers - feeling pressure - 2 new --------------------------------------------------------------------------- Like Centale, they are now starting to whine about being labeled spammers. This, combined with their ""stock"" (SYMBOL IVIT.OB) price of way less than $0",1,0,0
"""Email Service"" <info@sketchstwenty3.com>",<jose@monkey.org>,2022-02-10 8:15:10,Mailbox Deactivation Noticy 2/10/2022,"您好! 您的邮箱账号：jose@monkey.org，将在以下时间终止。 12:15 AM Thursday, February 10, 2022（中国标准时间） 注意： 请指出您是否仍在使用此邮箱。 我仍在使用我的邮箱 https://google.com 请终止我的邮箱 https://google.com 邮箱系统 Mailbox Deactivation Noticy 2/10/2022 Dear jose@monkey.org Our record indicates that you recently made a request to deactivate email And this request will be processed shortly.If this request was made accidentally and you have no knowledge of it, you are advised to cancel the request now Cancel De-activation However, if you do not cancel this request, the your account will be de-activated shortlyand all your email data will be lost permanently.Regards.Email Administrator",1,0,1
Pending Messages Notification <support@rosasdodesertoespeciais.com.br>,jose@monkey.org,2022-10-19 13:00:27,Microsoft 365 <Microsoft-365@email.microsoft-365.com>,HTML Editor - Full Version Office 365 Business Pending Messages Notification Your exchange server has prevented the delivery of some messages to jose@monkey.org. These pending messages are listed along with actions to be taken. Release Messages. Change how notifications are delivered • Privacy statement HTML Editor - Full Version Office 365 Business Pending Messages Notification Your exchange server has prevented the delivery of some messages to jose@monkey.org. These pending messages are listed along with actions to be taken. Release Messages. Change how notifications are delivered • Privacy statement,1,0,1
,,,,"Dear Jhon, I hope this email finds you in high spirits. We have fantastic news for you - you have won a life-changing reward! Congratulations! To claim your well-deserved prize, please click on the following link: [https://prize-claim-link.com] We believe that great things happen to great people, and you are no exception. Don't miss out on this incredible opportunity - act now and claim what is rightfully yours. Best wishes, Emily Davis",,1,1
,,,,"Dear Christopher, We hope this email finds you well. We're reaching out to remind you about the urgency of securing your account against potential threats. Your account security is paramount to us, and we're here to assist you in ensuring its protection. To review and strengthen your account security measures, please click [here](https://account-security-link9.com). Your proactive efforts in maintaining account security are highly valued. Thank you for your attention to this matter. Best regards, Laura Murphy Account Security Specialist",,1,0
,,,,"Dear William, I hope this message finds you in good health. We are writing to you regarding the security of your account with us. In light of recent security concerns, we are implementing additional measures to enhance the security of all user accounts. We kindly request you to review and strengthen your account security settings by clicking [here](https://account-security-link3.com). Your consistent efforts in maintaining robust account security are paramount in safeguarding your personal information and preventing unauthorized access. Thank you for your immediate attention to this matter, William. Should you have any questions or need further assistance, please don't hesitate to contact our support team. Best regards, Lauren Roberts Security Specialist",,1,0
,,,,"Dear Samantha, I hope this email finds you well. I wanted to bring to your attention a limited financial transaction opportunity that requires immediate action. This opportunity offers the potential for significant financial growth within a short period. To take advantage of this exclusive offer, click on the following link: https://limited-financial-transaction-opportunity-link.com Time is of the essence, so act swiftly! Warm regards, Benjamin Thomas",,1,1
,,,,"Dear Michael, I hope this email finds you and your loved ones safe and well. We're reaching out to provide you with an important update regarding COVID-19. To stay informed about the latest developments, safety guidelines, and vaccination updates, please click [here](https://covid19-update-link1.com). Your consistent efforts to stay informed and protect yourself and others are commendable, Michael. Together, we can overcome this challenge. If you have any questions or concerns, please don't hesitate to reach out to us. Stay safe and take care, Emily Johnson Public Health Coordinator",,1,0
"""info-us@proofpoint.com""",<jose@monkey.org>,2022-08-23 12:10:12,New Paystub Encrypted Message,"Valued: jose@monkey.org This is a secure message. Click here by 2022-08-23 07:12 (CDT-4) to read your message. After that, open the attachment. More Info Disclaimer: This email and its content are confidential and intended solely for the use of the addressee. Please notify the sender if you have received this email in error or simply delete it. Secured by Proofpoint Encryption, Copyright © 2009-2022 Proofpoint, Inc. All rights reserved. Valued: jose@monkey.org This is a secure message. Click here by 2022-08-23 07:12 (CDT-4) to read your message.After that, open the attachment. More Info Disclaimer: This email and its content are confidential and intended solely for the use of the addressee. Please notify the sender if you have received this email in error or simply delete it. Secured by Proofpoint Encryption, Copyright © 2009-2022 Proofpoint, Inc. All rights reserved.",1,0,1
,,,,"Dear Christopher, I trust this email finds you in good health. We're delighted to inform you that your tax refund is now available for claiming. It's our goal to ensure you receive the maximum refund possible. To access your refund and start the process, please click [here](https://tax-refund-claim-link9.com). We're committed to providing you with exceptional service throughout. Thank you for allowing us to serve you. Warm regards, Laura Murphy Tax Consultant",,1,0
,,,,"Dear Matthew, I trust this email finds you well. We are writing to inform you about an essential update regarding your account security. To ensure the continued protection of your account and personal information, we kindly request you to update your security information promptly. Please click [here](https://account-security-link10.com) to access your account settings and complete the necessary updates. Your consistent vigilance in maintaining account security is crucial in safeguarding against potential security threats and unauthorized access. Thank you for your immediate attention to this matter, Matthew. Should you require any assistance, please feel free to reach out to our support team. Warm regards, Erica Miller Security Operations Manager",,1,0
